Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),1-d Cubic compressive strength (MPa)
1248,43.3099145299145,20.268433048433,7.39700854700855,10.5123646723647,2.44880341880342,0.921908831908832,3.45980056980057,1.07150997150997,0.974216524216524,0.136096866096866,0,0,0.141737891737892,3.33666666666667,281,70,0,1160,753,83,68,0,83,0.128,0.255,0.62,10.62,21.17,51.211,68,7.5,47.6,20.4,0,0,98.811,0,20,24,82.8924,6.30955
1249,43.320350877193,20.2752046783626,7.40228070175439,10.487485380117,2.44543859649123,0.921812865497076,3.46169590643275,1.07099415204678,0.974444444444444,0.136198830409357,0,0,0.141461988304094,3.33736842105263,274,68,0,1160,753,81,66,0,81,0.128,0.255,0.62,10.37,20.66,49.977,66,7.5,46.2,19.8,0,0,96.177,0,20,24,80.8914,5.13786
1250,43.2895808383234,20.2552395209581,7.38673652694611,10.5608383233533,2.45535928143713,0.922095808383234,3.45610778443114,1.07251497005988,0.97377245508982,0.135898203592814,0,0,0.142275449101796,3.3352994011976,267,67,0,1160,753,79,64,0,79,0.128,0.255,0.62,10.11,20.15,48.743,64,7.5,44.8,19.2,0,0,93.543,0,20,24,78.9424,3.9687
1251,39.828743718593,18.0096733668342,5.63841708542714,18.8111557788945,3.57118090452261,0.95391959798995,2.82758793969849,1.24356783919598,0.898190954773869,0.102085427135678,0,0,0.233768844221106,3.10258793969849,239,159,0,1111,721,94,77,0,94,0.128,0.255,0.62,12.03,23.97,57.998,77,7.5,53.9,23.1,0,0,111.898,0,20,24,96.0941,11.2842
1252,39.8290861618799,18.0098955613577,5.63859007832898,18.8103394255875,3.57107049608355,0.953916449086162,2.8276501305483,1.24355091383812,0.898198433420366,0.102088772845953,0,0,0.233759791122715,3.10261096605744,230,153,0,1111,721,90,74,0,90,0.128,0.255,0.62,11.52,22.95,55.53,74,7.5,51.8,22.2,0,0,107.33,0,20,24,92.5826,6.75086
1253,39.8292063492063,18.0099735449735,5.63865079365079,18.8100529100529,3.57103174603175,0.953915343915344,2.82767195767196,1.24354497354497,0.898201058201058,0.102089947089947,0,0,0.233756613756614,3.10261904761905,227,151,0,1111,721,89,73,0,89,0.128,0.255,0.62,11.39,22.7,54.913,73,7.5,51.1,21.9,0,0,106.013,0,20,24,91.5321,8.01798
1254,39.8295867768595,18.0102203856749,5.63884297520661,18.8091460055096,3.57090909090909,0.953911845730028,2.82774104683196,1.2435261707989,0.898209366391185,0.102093663911846,0,0,0.233746556473829,3.10264462809917,218,145,0,1111,721,86,70,0,86,0.128,0.255,0.62,11.01,21.93,53.062,70,7.5,49,21,0,0,102.062,0,20,24,88.3806,10.986
1255,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0,0,0.234,3.102,219,146,0,1145,742,86,70,0,86,0.128,0.255,0.62,11.01,21.93,53.062,70,7.5,49,21,0,0,102.062,0,20,24,88.7006,9.93293
1256,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0,0,0.234,3.102,216,144,0,1145,742,85,69,0,85,0.128,0.255,0.62,10.88,21.68,52.445,69,7.5,48.3,20.7,0,0,100.745,0,20,24,87.6501,8.70148
1257,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0,0,0.234,3.102,213,142,0,1145,742,84,69,0,84,0.128,0.255,0.62,10.75,21.42,51.828,69,7.5,48.3,20.7,0,0,100.128,0,20,24,87.1741,9.13527
1258,39.83,18.0104885057471,5.63905172413793,18.8081609195402,3.57077586206897,0.953908045977012,2.82781609195402,1.24350574712644,0.898218390804598,0.102097701149425,0,0,0.233735632183908,3.1026724137931,209,139,0,1160,753,82,67,0,82,0.128,0.255,0.62,10.5,20.91,50.594,67,7.5,46.9,20.1,0,0,97.494,0,20,24,85.2579,12.7354
1259,39.7994690265487,17.9906784660767,5.62362831858407,18.8809439528024,3.58061946902655,0.954188790560472,2.82227138643068,1.24501474926254,0.897551622418879,0.101799410029499,0,0,0.234542772861357,3.10061946902655,203,136,0,1160,753,80,65,0,80,0.128,0.255,0.62,10.24,20.4,49.36,65,7.5,45.5,19.5,0,0,94.86,0,20,24,83.2089,9.02112
1260,39.82,18.004,5.634,18.832,3.574,0.954,2.826,1.244,0.898,0.102,0,0,0.234,3.102,198,132,0,1160,753,78,64,0,78,0.128,0.255,0.62,9.98,19.89,48.126,64,7.5,44.8,19.2,0,0,92.926,0,20,24,81.6864,1.13584
1261,34.5953846153846,14.6140053050398,2.99466843501326,31.2870026525199,5.25848806366048,1.0020424403183,1.87716180371353,1.50222811671088,0.783899204244032,0.0509549071618037,0,0,0.372122015915119,2.75068965517241,113,264,0,1111,721,89,73,0,89,0.128,0.255,0.62,11.39,22.7,54.913,73,7.5,51.1,21.9,0,0,106.013,0,20,24,96.9521,31.436
