Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
528,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,609,754,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,93.0296,35.0014
529,45.2534328358209,24.9612271973466,2.43918739635158,17.4005638474295,5.39169154228856,0.184510779436153,0.718474295190713,0,1.20419568822554,0.24828855721393,0,0,0,0.820431177446103,0,364,239,0,0,0,858,572,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,106.2776,46.5007
530,45.2447826086957,24.9545108695652,2.43842391304348,17.4128260869565,5.39576086956522,0.18445652173913,0.718423913043478,0,1.20375,0.248130434782609,0,0,0,0.820597826086957,0,333,219,0,0,0,858,625,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,105.368,66.9274
531,48.8729230769231,27.7715213675214,2.75864957264957,12.2697094017094,3.68897435897436,0.207213675213675,0.739555555555556,0,1.39068376068376,0.314451282051282,0,0,0,0.750700854700855,0,448,137,0,0,0,858,572,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,101.3096,37.5029
532,48.885046728972,27.7809345794393,2.75971962616822,12.252523364486,3.68327102803738,0.207289719626168,0.739626168224299,0,1.39130841121495,0.314672897196262,0,0,0,0.750467289719626,0,410,125,0,0,0,858,624,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,100.7832,34.0664
533,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,54,92,1.17,1.54,54,0.1492,0.298,0.55,8.06,16.09,29.8512,92,8,62.56,29.44,125,0,217.4112,0,25,24,97.476,40.2703
534,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,101,57,1.17,1.54,101,0.1492,0.298,0.55,15.07,30.1,55.8328,57,8,38.76,18.24,125,0,219.5928,0,25,24,92.948,49.7297
535,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,110,47,1.17,1.54,110,0.1492,0.298,0.55,16.41,32.78,60.808,47,8,31.96,15.04,125,0,217.768,0,25,24,90.06,46.7568
536,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,81,65,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,65,8,44.2,20.8,125,0,213.9768,0,25,24,90.6504,32.6966
537,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,81,75,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,75,8,51,24,125,0,220.7768,0,25,24,96.7784,66.4045
538,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,81,80,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,80,8,54.4,25.6,125,0,224.1768,0,25,24,99.8424,71.7978
594,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,80.18,80.18,0,0,80.18,0.09,0.28,0.63,7.22,22.45,50.5134,80.18,8,54.5224,25.6576,0,3.56,107.1718,0,24,24,111.629392,41.291
595,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,96.216,64.144,0,0,96.216,0.09,0.28,0.63,8.66,26.94,60.61608,64.144,8,43.61792,20.52608,0,3.56,106.37,0,24,24,107.5754912,49.8362
